Name	Id	Crate	ModId	Type	Index1	Index2	Channel	Type	Parameter	Ethreshold(call)	Emax(cal)	EOffset	EFactor	TOffset	TFactor	Ebin	Elow	Ehigh	Tbin	Tlow	Thigh	NumOfCallSections	Xlow	Xhigh	Offset	Fact1	Fact2	Xlow	Xhigh	Offset	Fact1	Fact2	Xlow	Xhigh	Offset	Fact1	Fact2
He001	0	1	1	1	1	0	0	SIS3316	EFIR	120	10000	0	0.000807502	0	20	3500	0	3500	1000	0	200000	0															
He002	1	1	1	1	1	0	1	SIS3316	EFIR	120	10000	0	0.0007966696	0	20	3500	0	3500	1000	0	200000	0															
He003	2	1	1	1	1	0	2	SIS3316	EFIR	120	10000	0	0.0008451487	0	20	3500	0	3500	1000	0	200000	0															
He004	3	1	1	1	2	0	3	SIS3316	EFIR	120	10000	0	0.000792517	0	20	3500	0	3500	1000	0	200000	0															
He005	4	1	1	1	2	0	4	SIS3316	EFIR	120	10000	0	0.0008034576	0	20	3500	0	3500	1000	0	200000	0															
He006	5	1	1	1	3	0	5	SIS3316	EFIR	120	10000	0	0.0008882507	0	20	3500	0	3500	1000	0	200000	0															
He007	6	1	1	1	1	0	6	SIS3316	EFIR	120	10000	0	0.0008003155	0	20	3500	0	3500	1000	0	200000	0															
He008	7	1	1	1	1	0	7	SIS3316	EFIR	120	10000	0	0.0008245994	0	20	3500	0	3500	1000	0	200000	0															
He009	8	1	1	1	1	0	8	SIS3316	EFIR	120	10000	0	0.000809901	0	20	3500	0	3500	1000	0	200000	0															
He010	9	1	1	1	2	0	9	SIS3316	EFIR	120	10000	0	0.000820137	0	20	3500	0	3500	1000	0	200000	0															
He011	10	1	1	1	2	0	10	SIS3316	EFIR	120	10000	0	0.00078482	0	20	3500	0	3500	1000	0	200000	0															
He012	11	1	1	1	3	0	11	SIS3316	EFIR	120	10000	0	0.000804308	0	20	3500	0	3500	1000	0	200000	0															
He021	12	1	1	1	1	0	12	SIS3316	EFIR	120	10000	0	0.000883153	0	20	3500	0	3500	1000	0	200000	0															
He022	13	1	1	1	2	0	13	SIS3316	EFIR	120	10000	0	0.000901874	0	20	3500	0	3500	1000	0	200000	0															
He023	14	1	1	1	2	0	14	SIS3316	EFIR	120	10000	0	0.000881293	0	20	3500	0	3500	1000	0	200000	0															
He024	15	1	1	1	3	0	15	SIS3316	EFIR	120	10000	0	0.0009119468	0	20	3500	0	3500	1000	0	200000	0															
He013	16	1	2	1	1	0	0	SIS3316	EFIR	120	10000	0	0.000883137	0	20	3500	0	3500	1000	0	200000	0															
He014	17	1	2	1	1	0	1	SIS3316	EFIR	120	10000	0	0.000890012	0	20	3500	0	3500	1000	0	200000	0															
He015	18	1	2	1	1	0	2	SIS3316	EFIR	120	10000	0	0.000892132	0	20	3500	0	3500	1000	0	200000	0															
He016	19	1	2	1	2	0	3	SIS3316	EFIR	120	10000	0	0.000881072	0	20	3500	0	3500	1000	0	200000	0															
He017	20	1	2	1	2	0	4	SIS3316	EFIR	120	10000	0	0.000884337	0	20	3500	0	3500	1000	0	200000	0															
He018	21	1	2	1	3	0	5	SIS3316	EFIR	120	10000	0	0.000888505	0	20	3500	0	3500	1000	0	200000	0															
